"","Day","Month","Year","Extent"
"1",26,10,1978,10.231
"2",28,10,1978,10.42
"3",30,10,1978,10.557
"4",1,11,1978,10.67
"5",3,11,1978,10.777
"6",5,11,1978,10.968
"7",7,11,1978,11.08
"8",9,11,1978,11.189
"9",11,11,1978,11.314
"10",13,11,1978,11.46
"11",15,11,1978,11.539
"12",17,11,1978,11.696
"13",19,11,1978,11.87
"14",21,11,1978,12.053
"15",23,11,1978,12.274
"16",25,11,1978,12.441
"17",27,11,1978,12.662
"18",29,11,1978,12.684
"19",1,12,1978,12.725
"20",3,12,1978,12.66
"21",5,12,1978,12.785
"22",7,12,1978,13.051
"23",9,12,1978,13.143
"24",11,12,1978,13.437
"25",13,12,1978,13.603
"26",15,12,1978,13.649
"27",17,12,1978,13.807
"28",19,12,1978,13.892
"29",21,12,1978,13.996
"30",23,12,1978,14.189
"31",25,12,1978,14.268
"32",27,12,1978,14.383
"33",29,12,1978,14.5
"34",31,12,1978,14.585
"35",2,1,1979,14.997
"36",4,1,1979,14.922
"37",6,1,1979,14.929
"38",8,1,1979,14.968
"39",10,1,1979,15.19
"40",12,1,1979,15.327
"41",14,1,1979,15.352
"42",16,1,1979,15.5
"43",18,1,1979,15.517
"44",20,1,1979,15.709
"45",22,1,1979,15.679
"46",24,1,1979,15.745
"47",26,1,1979,15.686
"48",28,1,1979,15.777
"49",30,1,1979,15.912
"50",1,2,1979,15.857
"51",3,2,1979,15.839
"52",5,2,1979,15.831
"53",7,2,1979,15.801
"54",9,2,1979,15.99
"55",11,2,1979,16.099
"56",13,2,1979,16.289
"57",15,2,1979,16.323
"58",17,2,1979,16.343
"59",19,2,1979,16.291
"60",21,2,1979,16.26
"61",23,2,1979,16.401
"62",25,2,1979,16.579
"63",27,2,1979,16.551
"64",1,3,1979,16.635
"65",3,3,1979,16.457
"66",5,3,1979,16.568
"67",7,3,1979,16.547
"68",9,3,1979,16.536
"69",11,3,1979,16.513
"70",13,3,1979,16.414
"71",15,3,1979,16.31
"72",17,3,1979,16.467
"73",19,3,1979,16.505
"74",21,3,1979,16.349
"75",23,3,1979,16.279
"76",25,3,1979,16.264
"77",27,3,1979,16.06
"78",29,3,1979,15.763
"79",31,3,1979,15.804
"80",2,4,1979,15.66
"81",4,4,1979,15.641
"82",6,4,1979,15.695
"83",8,4,1979,15.794
"84",10,4,1979,15.761
"85",12,4,1979,15.655
"86",14,4,1979,15.5
"87",16,4,1979,15.454
"88",18,4,1979,15.51
"89",20,4,1979,15.343
"90",22,4,1979,15.255
"91",24,4,1979,15.224
"92",26,4,1979,15.141
"93",28,4,1979,15.108
"94",30,4,1979,14.961
"95",2,5,1979,14.626
"96",4,5,1979,14.498
"97",6,5,1979,14.45
"98",8,5,1979,14.325
"99",10,5,1979,14.149
"100",12,5,1979,14.012
"101",14,5,1979,13.836
"102",16,5,1979,13.862
"103",18,5,1979,13.691
"104",20,5,1979,13.56
"105",22,5,1979,13.529
"106",24,5,1979,13.364
"107",26,5,1979,13.399
"108",28,5,1979,13.292
"109",30,5,1979,13.26
"110",1,6,1979,13.076
"111",3,6,1979,12.977
"112",5,6,1979,12.832
"113",7,6,1979,12.791
"114",9,6,1979,12.854
"115",11,6,1979,12.733
"116",13,6,1979,12.673
"117",15,6,1979,12.548
