Date,Temperature
1996-05-13,-12.64
1996-05-14,-12.87
1996-05-15,-11.05
1996-05-16,-15.29
1996-05-17,-16.05
1996-05-18,-10.12
1996-05-19,-11.45
1996-05-20,-14.25
1996-05-21,-14.17
1996-05-22,-14.07
1996-05-23,-15.33
1996-05-24,-7.74
1996-05-25,-17.68
1996-05-26,-19.6
1996-05-27,-21.03
1996-05-28,-19.01
1996-05-29,-18.91
1996-05-30,-17.15
1996-05-31,-16.53
1996-06-01,-17.57
1996-06-02,-16.51
1996-06-03,-16.78
1996-06-04,-16.24
1996-06-05,-19.9
1996-06-06,-16.72
1996-06-07,-11.57
1996-06-08,-15.99
1996-06-09,-18.19
1996-06-10,-16.9
1996-06-11,-14.46
1996-06-12,-11.87
1996-06-13,-14.81
1996-06-14,-15.04
1996-06-15,-13.4
1996-06-16,-10.25
1996-06-17,-7.36
1996-06-18,-3.91
1996-06-19,-3.12
1996-06-20,-10.45
1996-06-21,-9.34
1996-06-22,-13.09
1996-06-23,-9.54
1996-06-24,-8.34
1996-06-25,-7.16
1996-06-26,-10.04
1996-06-27,-9.27
1996-06-28,-12.16
1996-06-29,-11.58
1996-06-30,-7.72
1996-07-01,-5.79
1996-07-02,-7.94
1996-07-03,-9.81
1996-07-04,-11.63
1996-07-05,-13.1
1996-07-06,-11.84
1996-07-07,-11.6
1996-07-08,-10.84
1996-07-09,-11.26
1996-07-10,-10.8
1996-07-11,-9.85
1996-07-12,-10.77
1996-07-13,-10.19
1996-07-14,-10.58
1996-07-15,-12.48
1996-07-16,-7.26
1996-07-17,-6.23
1996-07-18,-8.99
1996-07-19,-9.67
1996-07-20,-9.28
1996-07-21,-13.58
1996-07-22,-9.81
1996-07-23,-11.82
1996-07-24,-10.39
1996-07-25,-9.5
1996-07-26,-10.98
1996-07-27,-9.65
1996-07-28,-9.11
1996-07-29,-10.24
1996-07-30,-11.38
1996-07-31,-11.76
1996-08-01,-12.19
1996-08-02,-9.69
1996-08-03,-9.82
1996-08-04,-9.36
1996-08-05,-11.36
1996-08-06,-12.72
1996-08-07,-15.24
1996-08-08,-14.14
1996-08-09,-13.85
1996-08-10,-14.12
1996-08-11,-12
1996-08-12,-9.19
1996-08-13,-9.99
1996-08-14,-14.02
1996-08-15,-14.53
1996-08-16,-14.36
1996-08-17,-13.88
1996-08-18,-15.6
1996-08-19,-14.73
1996-08-20,-15.94
1996-08-21,-16.62
1996-08-22,-17.92
1996-08-23,-17.43
1996-08-24,-12.95
1996-08-25,-13
1996-08-26,-9.25
1996-08-27,-12.03
1996-08-28,-12.42
1996-08-29,-15.4
1996-08-30,-15.98
1996-08-31,-18.42
1996-09-01,-13.87
1996-09-02,-10.55
1996-09-03,-12.93
1996-09-04,-13.79
1996-09-05,-16.19
1996-09-06,-21.83
1996-09-07,-16.52
1996-09-08,-14.45
1996-09-09,-10.72
1996-09-10,-10.7
1996-09-11,-7.27
1996-09-12,-6.03
1996-09-13,-21.61
1996-09-14,-20.73
1996-09-15,-23.69
1996-09-16,-25.46
1996-09-17,-20.34
1996-09-18,-16.3
1996-09-19,-14.94
1996-09-20,-16.96
1996-09-21,-14.12
1996-09-22,-17.37
1996-09-23,-21.35
1996-09-24,-26.55
1996-09-25,-22.11
1996-09-26,-19.14
1996-09-27,-20.07
1996-09-28,-15.48
1996-09-29,-12.68
1996-09-30,-23.49
1996-10-01,-22.81
1996-10-02,-21.15
1996-10-03,-18.39
1996-10-04,-18.13
1996-10-05,-20.63
1996-10-06,-41.24
1996-10-07,-37.99
1996-10-08,-32.3
1996-10-09,-32.27
1996-10-10,-37.64
1996-10-11,-43.7
1996-10-12,-30.68
1996-10-13,-25.05
1996-10-14,-35.93
1996-10-15,-21.15
1996-10-16,-17.69
1996-10-17,-18.01
1996-10-18,-20.33
1996-10-19,-25.6
